taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_7,2000000 reduction 12345,1,0.00230835,1.00016e+06,1
OpenMP_7,2000000 reduction 12345,1,0.00224387,1.00016e+06,2
OpenMP_7,2000000 reduction 12345,1,0.00216536,1.00016e+06,3
OpenMP_7,2000000 reduction 12345,6,0.00163601,1.00016e+06,1
OpenMP_7,2000000 reduction 12345,6,0.00160065,1.00016e+06,2
OpenMP_7,2000000 reduction 12345,6,0.00117535,1.00016e+06,3
OpenMP_7,2000000 reduction 12345,12,0.00129745,1.00016e+06,1
OpenMP_7,2000000 reduction 12345,12,0.00126975,1.00016e+06,2
OpenMP_7,2000000 reduction 12345,12,0.00126469,1.00016e+06,3
OpenMP_7,2000000 reduction 12345,24,0.0018039,1.00016e+06,1
OpenMP_7,2000000 reduction 12345,24,0.0017584,1.00016e+06,2
OpenMP_7,2000000 reduction 12345,24,0.00173815,1.00016e+06,3
OpenMP_7,2000000 atomic 12345,1,0.00901641,1.00016e+06,1
OpenMP_7,2000000 atomic 12345,1,0.00899543,1.00016e+06,2
OpenMP_7,2000000 atomic 12345,1,0.00900497,1.00016e+06,3
OpenMP_7,2000000 atomic 12345,6,0.0672693,1.00016e+06,1
OpenMP_7,2000000 atomic 12345,6,0.0700598,1.00016e+06,2
OpenMP_7,2000000 atomic 12345,6,0.0652597,1.00016e+06,3
OpenMP_7,2000000 atomic 12345,12,0.0879136,1.00016e+06,1
OpenMP_7,2000000 atomic 12345,12,0.0829813,1.00016e+06,2
OpenMP_7,2000000 atomic 12345,12,0.0873216,1.00016e+06,3
OpenMP_7,2000000 atomic 12345,24,0.0926184,1.00016e+06,1
OpenMP_7,2000000 atomic 12345,24,0.0908949,1.00016e+06,2
OpenMP_7,2000000 atomic 12345,24,0.0919658,1.00016e+06,3
OpenMP_7,2000000 critical 12345,1,0.0187459,1.00016e+06,1
OpenMP_7,2000000 critical 12345,1,0.0186984,1.00016e+06,2
OpenMP_7,2000000 critical 12345,1,0.0186327,1.00016e+06,3
OpenMP_7,2000000 critical 12345,6,0.263763,1.00016e+06,1
OpenMP_7,2000000 critical 12345,6,0.264614,1.00016e+06,2
OpenMP_7,2000000 critical 12345,6,0.237234,1.00016e+06,3
OpenMP_7,2000000 critical 12345,12,0.352556,1.00016e+06,1
OpenMP_7,2000000 critical 12345,12,0.33972,1.00016e+06,2
OpenMP_7,2000000 critical 12345,12,0.341469,1.00016e+06,3
OpenMP_7,2000000 critical 12345,24,0.294064,1.00016e+06,1
OpenMP_7,2000000 critical 12345,24,0.295578,1.00016e+06,2
OpenMP_7,2000000 critical 12345,24,0.293784,1.00016e+06,3
OpenMP_7,2000000 lock 12345,1,0.0186962,1.00016e+06,1
OpenMP_7,2000000 lock 12345,1,0.0186458,1.00016e+06,2
OpenMP_7,2000000 lock 12345,1,0.0186408,1.00016e+06,3
OpenMP_7,2000000 lock 12345,6,0.272703,1.00016e+06,1
OpenMP_7,2000000 lock 12345,6,0.268585,1.00016e+06,2
OpenMP_7,2000000 lock 12345,6,0.289447,1.00016e+06,3
OpenMP_7,2000000 lock 12345,12,0.373041,1.00016e+06,1
OpenMP_7,2000000 lock 12345,12,0.495309,1.00016e+06,2
OpenMP_7,2000000 lock 12345,12,0.373948,1.00016e+06,3
OpenMP_7,2000000 lock 12345,24,0.339548,1.00016e+06,1
OpenMP_7,2000000 lock 12345,24,0.345789,1.00016e+06,2
OpenMP_7,2000000 lock 12345,24,0.325286,1.00016e+06,3
